,sr_no,Perplexity,Perplexity per line,Burstiness,label,desc,source
0,0,43,146.66666666666666,730,1,The Text is written by Human.,human
1,10001,22,48.23076923076923,111,0,The Text is generated by AI.,human
2,10002,27,59.09090909090909,173,0,The Text is generated by AI.,human
3,2,15,31.25,79,0,The Text is generated by AI.,human
4,3,18,61.22222222222222,253,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
5,4,16,45.91304347826087,140,0,The Text is generated by AI.,human
6,5,19,61.9375,152,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
7,6,17,41.53333333333333,106,0,The Text is generated by AI.,human
8,7,9,34.44444444444444,102,0,The Text is generated by AI.,human
9,8,28,181.3181818181818,698,1,The Text is written by Human.,human
10,9,20,49.9,103,0,The Text is generated by AI.,human
11,10,33,87.33333333333333,255,1,The Text is written by Human.,human
12,11001,8,27.894736842105264,55,0,The Text is generated by AI.,human
13,11002,12,43.0,138,0,The Text is generated by AI.,human
14,12,13,25.0625,54,0,The Text is generated by AI.,human
15,13001,9,41.0,147,0,The Text is generated by AI.,human
16,13002,22,111.0625,512,1,The Text is written by Human.,human
17,14,30,68.375,171,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
18,15,13,32.357142857142854,70,0,The Text is generated by AI.,human
19,16,12,33.666666666666664,105,0,The Text is generated by AI.,human
20,17,9,31.785714285714285,85,0,The Text is generated by AI.,human
21,18,22,47.791666666666664,189,0,The Text is generated by AI.,human
22,19,14,69.91666666666667,476,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
23,20,15,34.857142857142854,73,0,The Text is generated by AI.,human
24,21,16,82.2,423,1,The Text is written by Human.,human
25,22,33,82.6,326,1,The Text is written by Human.,human
26,23,18,42.0,95,0,The Text is generated by AI.,human
27,24,17,56.35294117647059,215,0,The Text is generated by AI.,human
28,25,14,33.625,69,0,The Text is generated by AI.,human
29,26,16,38.76923076923077,77,0,The Text is generated by AI.,human
30,27,17,37.266666666666666,105,0,The Text is generated by AI.,human
31,28,42,197.57894736842104,1859,1,The Text is written by Human.,human
32,29,28,42.93333333333333,82,0,The Text is generated by AI.,human
33,30,22,72.1304347826087,443,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
34,31,28,91.8125,330,1,The Text is written by Human.,human
35,32,12,26.714285714285715,66,0,The Text is generated by AI.,human
36,33,15,35.4375,73,0,The Text is generated by AI.,human
37,34,18,70.15789473684211,493,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
38,35,11,20.4,47,0,The Text is generated by AI.,human
39,36,31,412.55,3492,1,The Text is written by Human.,human
40,37,16,43.629629629629626,126,0,The Text is generated by AI.,human
41,38001,25,178.83333333333334,1576,1,The Text is written by Human.,human
42,38002,29,141.23529411764707,688,1,The Text is written by Human.,human
43,39,18,45.733333333333334,95,0,The Text is generated by AI.,human
44,40,17,48.07692307692308,114,0,The Text is generated by AI.,human
45,41,16,46.714285714285715,242,0,The Text is generated by AI.,human
46,42,39,145.3125,491,1,The Text is written by Human.,human
47,43,15,46.0,211,0,The Text is generated by AI.,human
48,44,22,49.06666666666667,174,0,The Text is generated by AI.,human
49,45,25,108.6842105263158,1110,1,The Text is written by Human.,human
50,46,16,164.11111111111111,1088,1,The Text is written by Human.,human
51,48001,10,47.64,191,0,The Text is generated by AI.,human
52,48002,12,51.666666666666664,158,0,The Text is generated by AI.,human
53,47,36,149.35714285714286,699,1,The Text is written by Human.,human
54,49,13,29.875,77,0,The Text is generated by AI.,human
55,50,12,27.416666666666668,49,0,The Text is generated by AI.,human
56,51,25,65.78947368421052,423,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
57,52,30,139.9375,824,1,The Text is written by Human.,human
58,53,39,127.24,601,1,The Text is written by Human.,human
59,54,17,77.05555555555556,461,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
60,55,12,34.80952380952381,129,0,The Text is generated by AI.,human
61,56,18,46.22222222222222,117,0,The Text is generated by AI.,human
62,57,19,56.9375,219,0,The Text is generated by AI.,human
63,58,18,43.8,90,0,The Text is generated by AI.,human
64,59,16,48.68421052631579,254,0,The Text is generated by AI.,human
65,60,12,34.80952380952381,129,0,The Text is generated by AI.,human
66,61,14,36.611111111111114,129,0,The Text is generated by AI.,human
67,62,18,43.416666666666664,139,0,The Text is generated by AI.,human
68,63,26,85.27272727272727,358,1,The Text is written by Human.,human
69,64,14,28.363636363636363,62,0,The Text is generated by AI.,human
70,65,14,33.43478260869565,71,0,The Text is generated by AI.,human
71,66,15,53.05555555555556,155,0,The Text is generated by AI.,human
72,67,12,34.0,117,0,The Text is generated by AI.,human
73,68,16,50.5,133,0,The Text is generated by AI.,human
74,69,14,25.933333333333334,57,0,The Text is generated by AI.,human
75,70,17,44.75,99,0,The Text is generated by AI.,human
76,71,16,32.18181818181818,63,0,The Text is generated by AI.,human
77,72,15,33.75,68,0,The Text is generated by AI.,human
78,73,15,33.9375,77,0,The Text is generated by AI.,human
79,74,16,76.11111111111111,338,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
80,75,16,41.625,156,0,The Text is generated by AI.,human
81,76,16,35.36842105263158,91,0,The Text is generated by AI.,human
82,77,11,26.705882352941178,83,0,The Text is generated by AI.,human
83,78,14,28.90909090909091,67,0,The Text is generated by AI.,human
84,81,30,72.425,189,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
85,82,18,41.90909090909091,105,0,The Text is generated by AI.,human
86,83,17,40.8125,141,0,The Text is generated by AI.,human
87,84,15,37.578947368421055,147,0,The Text is generated by AI.,human
88,85,17,35.25,93,0,The Text is generated by AI.,human
89,86,14,47.529411764705884,168,0,The Text is generated by AI.,human
90,87,21,99.41176470588235,322,1,The Text is written by Human.,human
91,88,15,46.9375,113,0,The Text is generated by AI.,human
92,89,21,90.88888888888889,737,1,The Text is written by Human.,human
93,90,20,54.208333333333336,247,0,The Text is generated by AI.,human
94,91,77,182.88888888888889,606,1,The Text is written by Human.,human
95,92,13,28.333333333333332,72,0,The Text is generated by AI.,human
96,93,18,57.57142857142857,135,0,The Text is generated by AI.,human
97,94,10,38.8,118,0,The Text is generated by AI.,human
98,95,11,21.571428571428573,35,0,The Text is generated by AI.,human
99,96001,12,33.285714285714285,83,0,The Text is generated by AI.,human
100,96002,14,28.636363636363637,58,0,The Text is generated by AI.,human
101,97,17,29.6,74,0,The Text is generated by AI.,human
102,98,11,24.733333333333334,40,0,The Text is generated by AI.,human
103,99,15,31.8,129,0,The Text is generated by AI.,human
104,100,33,72.375,131,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
105,101,13,35.888888888888886,78,0,The Text is generated by AI.,human
106,1021,16,41.142857142857146,115,0,The Text is generated by AI.,human
107,1022,15,46.65,205,0,The Text is generated by AI.,human
108,1032,15,46.5,206,0,The Text is generated by AI.,human
109,1031,15,117.9,1285,1,The Text is written by Human.,human
110,1041,15,62.22222222222222,187,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
111,1042,18,846.7391304347826,17961,1,The Text is written by Human.,human
112,105,11,41.88235294117647,101,0,The Text is generated by AI.,human
113,106,15,48.125,125,0,The Text is generated by AI.,human
114,107,15,204.85714285714286,2476,1,The Text is written by Human.,human
115,108,23,112.8,599,1,The Text is written by Human.,human
116,109,15,204.71428571428572,2476,1,The Text is written by Human.,human
117,110,19,56.0,187,0,The Text is generated by AI.,human
118,111,16,49.18518518518518,289,0,The Text is generated by AI.,human
119,112,26,66.75,224,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
120,113,18,54.38461538461539,210,0,The Text is generated by AI.,human
121,114,12,45.0,218,0,The Text is generated by AI.,human
122,1141,16,28.272727272727273,89,0,The Text is generated by AI.,human
123,115,28,93.33333333333333,346,1,The Text is written by Human.,human
124,1151,17,42.6,120,0,The Text is generated by AI.,human
125,116,19,52.34375,127,0,The Text is generated by AI.,human
126,117,24,89.77777777777777,336,1,The Text is written by Human.,human
127,118,17,50.07692307692308,301,0,The Text is generated by AI.,human
128,119,11,26.0,45,0,The Text is generated by AI.,human
129,120,15,27.923076923076923,54,0,The Text is generated by AI.,human
130,121,15,37.578947368421055,88,0,The Text is generated by AI.,human
131,122,19,40.666666666666664,112,0,The Text is generated by AI.,human
132,123,11,43.10526315789474,95,0,The Text is generated by AI.,human
133,124,13,28.63157894736842,91,0,The Text is generated by AI.,human
134,125,16,65.58823529411765,477,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
135,126,19,69.85,361,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
136,127,18,39.75,131,0,The Text is generated by AI.,human
137,128,29,56.5,249,0,The Text is generated by AI.,human
138,129,18,32.93333333333333,59,0,The Text is generated by AI.,human
139,130,21,89.23529411764706,681,1,The Text is written by Human.,human
140,131,18,58.10526315789474,270,0,The Text is generated by AI.,human
141,132,27,62.666666666666664,244,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
142,133,18,47.2,155,0,The Text is generated by AI.,human
143,134,19,84.3,573,1,The Text is written by Human.,human
144,135,13,29.647058823529413,75,0,The Text is generated by AI.,human
145,137,24,64.0,205,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
146,136,12,31.133333333333333,118,0,The Text is generated by AI.,human
147,138,11,19.666666666666668,40,0,The Text is generated by AI.,human
148,139,16,41.625,156,0,The Text is generated by AI.,human
149,140,23,53.90909090909091,111,0,The Text is generated by AI.,human
150,141,11,19.666666666666668,40,0,The Text is generated by AI.,human
151,1421,14,40.333333333333336,143,0,The Text is generated by AI.,human
152,1422,14,43.30434782608695,206,0,The Text is generated by AI.,human
153,143,15,45.05,257,0,The Text is generated by AI.,human
154,144,26,74.11111111111111,251,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),human
155,145,15,29.916666666666668,60,0,The Text is generated by AI.,human
156,146,77,369.2,2004,1,The Text is written by Human.,human
157,147,24,57.05263157894737,165,0,The Text is generated by AI.,human
158,148,16,42.34615384615385,100,0,The Text is generated by AI.,human
159,1491,15,164.58823529411765,2272,1,The Text is written by Human.,human
160,1492,47,116.85714285714286,439,1,The Text is written by Human.,human
161,150,23,48.23076923076923,111,0,The Text is generated by AI.,human
162,1511,17,154.21052631578948,2272,1,The Text is written by Human.,human
163,1512,44,167.4375,1286,1,The Text is written by Human.,human
164,152,23,52.09090909090909,95,0,The Text is generated by AI.,human
165,1531,18,39.470588235294116,82,0,The Text is generated by AI.,human
166,1532,15,97.73684210526316,961,1,The Text is written by Human.,human
167,154,23,102.04545454545455,469,1,The Text is written by Human.,human
168,155,23,43.5,146,0,The Text is generated by AI.,human
169,156,18,31.764705882352942,124,0,The Text is generated by AI.,human
170,157,14,48.92,161,0,The Text is generated by AI.,human
171,158,12,26.571428571428573,70,0,The Text is generated by AI.,human
172,159,14,37.81818181818182,72,0,The Text is generated by AI.,human
