,sr_no,Perplexity,Perplexity per line,Burstiness,label,desc,prob
0,884,25,79.71428571428571,213,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
1,7577,39,136.625,400,1,The Text is written by Human.,
2,25340,34,81.42857142857143,131,1,The Text is written by Human.,
3,7555,34,59.4,93,0,The Text is generated by AI.,
4,3710,29,78.14285714285714,124,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
5,5528,20,93.83333333333333,360,1,The Text is written by Human.,
6,12526,24,78.42857142857143,199,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
7,3157,35,236.1818181818182,971,1,The Text is written by Human.,
8,550,29,96.33333333333333,252,1,The Text is written by Human.,
9,25074,54,88.75,134,1,The Text is written by Human.,
10,17538,27,67.66666666666667,110,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
11,4056,33,60.0,75,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
12,11277,25,142.1818181818182,667,1,The Text is written by Human.,
13,1918,23,56.0,80,0,The Text is generated by AI.,
14,2270,22,75.85714285714286,150,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
15,9747,32,71.83333333333333,121,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
16,25190,29,67.33333333333333,102,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
17,15139,26,136.66666666666666,342,1,The Text is written by Human.,
18,2605,32,54.4,79,0,The Text is generated by AI.,
19,26098,25,39.2,59,0,The Text is generated by AI.,
20,8964,43,69.33333333333333,117,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
21,718,25,60.8,128,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
22,5077,33,71.8,130,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
23,18038,20,76.07142857142857,341,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
24,12442,46,152.6,499,1,The Text is written by Human.,
25,18446,30,81.33333333333333,160,1,The Text is written by Human.,
26,23443,34,90.875,230,1,The Text is written by Human.,
27,6820,14,43.77777777777778,126,0,The Text is generated by AI.,
28,25786,26,77.0,228,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
29,7725,27,48.2,61,0,The Text is generated by AI.,
30,1795,41,70.0,113,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
31,14335,39,93.25,175,1,The Text is written by Human.,
32,6106,37,67.2,158,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
33,5912,41,76.28571428571429,183,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
34,11369,35,131.25,403,1,The Text is written by Human.,
35,3984,29,61.2,106,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
36,20879,42,90.2,186,1,The Text is written by Human.,
37,10487,43,53.666666666666664,62,0,The Text is generated by AI.,
38,24163,40,108.85714285714286,237,1,The Text is written by Human.,
39,15745,32,77.66666666666667,113,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
40,15441,30,95.0,211,1,The Text is written by Human.,
41,7007,29,228.8,813,1,The Text is written by Human.,
42,9541,53,127.75,308,1,The Text is written by Human.,
43,3428,39,87.6,235,1,The Text is written by Human.,
44,4328,38,107.0,200,1,The Text is written by Human.,
45,18966,41,97.5,223,1,The Text is written by Human.,
46,12538,10,38.625,74,0,The Text is generated by AI.,
47,3812,44,112.16666666666667,164,1,The Text is written by Human.,
48,21063,33,182.0,635,1,The Text is written by Human.,
49,13015,23,77.6,220,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
50,8472,31,52.333333333333336,64,0,The Text is generated by AI.,
51,4704,18,41.142857142857146,78,0,The Text is generated by AI.,
52,15542,21,108.57142857142857,251,1,The Text is written by Human.,
53,19576,17,49.0,97,0,The Text is generated by AI.,
54,2018,20,44.666666666666664,67,0,The Text is generated by AI.,
55,10752,25,95.28571428571429,168,1,The Text is written by Human.,
56,20559,64,144.0,215,1,The Text is written by Human.,
57,24516,22,120.25,645,1,The Text is written by Human.,
58,2380,13,34.4,68,0,The Text is generated by AI.,
59,216,29,82.33333333333333,207,1,The Text is written by Human.,
60,20846,11,41.785714285714285,130,0,The Text is generated by AI.,
61,20310,26,111.72727272727273,373,1,The Text is written by Human.,
62,1752,30,61.333333333333336,76,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
63,1467,16,60.13333333333333,227,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
64,24678,30,76.57142857142857,216,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
65,1306,59,281.42857142857144,879,1,The Text is written by Human.,
66,14480,21,56.25,118,0,The Text is generated by AI.,
67,3443,19,63.61538461538461,256,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
68,2512,11,43.5,150,0,The Text is generated by AI.,
69,18224,18,77.84615384615384,324,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
70,22335,19,50.111111111111114,125,0,The Text is generated by AI.,
71,1153,24,68.875,178,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
72,10975,24,76.83333333333333,314,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
73,18607,24,68.0,113,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
74,2472,27,103.18181818181819,582,1,The Text is written by Human.,
75,21130,34,116.0,331,1,The Text is written by Human.,
76,25903,21,76.66666666666667,127,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
77,3913,10,43.46153846153846,186,0,The Text is generated by AI.,
78,11995,28,45.2,65,0,The Text is generated by AI.,
79,22345,28,300.35714285714283,2490,1,The Text is written by Human.,
80,19583,44,95.33333333333333,270,1,The Text is written by Human.,
81,12142,80,95.5,117,1,The Text is written by Human.,
82,17812,18,99.46153846153847,344,1,The Text is written by Human.,
83,22624,22,66.0,91,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
84,8640,16,50.0,177,0,The Text is generated by AI.,
85,20256,,,,,error,70.59%
86,7035,35,76.25,91,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
87,22362,7,27.3,45,0,The Text is generated by AI.,
88,20261,32,102.0,297,1,The Text is written by Human.,
89,15478,10,114.83333333333333,532,1,The Text is written by Human.,
90,7194,24,99.27272727272727,251,1,The Text is written by Human.,
91,9860,44,176.71428571428572,305,1,The Text is written by Human.,
92,12735,40,72.16666666666667,108,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
93,24510,16,37.166666666666664,73,0,The Text is generated by AI.,
94,18265,27,156.375,734,1,The Text is written by Human.,
95,20036,29,135.33333333333334,455,1,The Text is written by Human.,
96,24707,38,57.75,85,0,The Text is generated by AI.,
97,22683,24,60.22222222222222,119,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
98,15001,24,85.27272727272727,163,1,The Text is written by Human.,
99,12896,10,33.333333333333336,101,0,The Text is generated by AI.,
100,4750,17,31.583333333333332,273,0,The Text is generated by AI.,
101,13178,15,44.22222222222222,123,0,The Text is generated by AI.,
102,8305,20,95.64285714285714,272,1,The Text is written by Human.,
103,401,13,36.833333333333336,65,0,The Text is generated by AI.,
104,13550,31,75.28571428571429,164,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
105,12978,34,95.0,144,1,The Text is written by Human.,
106,18129,40,171.0,397,1,The Text is written by Human.,
107,4600,,,,,error,54.32%
108,16188,18,26.75,39,0,The Text is generated by AI.,
109,12838,30,79.2,162,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
110,18606,27,81.6,137,1,The Text is written by Human.,
111,14039,25,99.35714285714286,405,1,The Text is written by Human.,
112,21133,10,90.83333333333333,551,1,The Text is written by Human.,
113,10492,59,75.0,100,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
114,12620,21,152.66666666666666,598,1,The Text is written by Human.,
115,26054,30,58.57142857142857,107,0,The Text is generated by AI.,
116,1477,9,34.2,48,0,The Text is generated by AI.,
117,2031,9,66.0909090909091,201,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
118,2564,13,37.2,78,0,The Text is generated by AI.,
119,2643,9,28.5,52,0,The Text is generated by AI.,
120,3120,15,51.0,115,0,The Text is generated by AI.,
121,6544,10,39.0,48,0,The Text is generated by AI.,
122,6648,9,17.5,22,0,The Text is generated by AI.,
123,6918,9,21.0,23,0,The Text is generated by AI.,
124,7168,7,47.142857142857146,201,0,The Text is generated by AI.,
125,7187,12,18.0,19,0,The Text is generated by AI.,
126,7220,5,17.2,41,0,The Text is generated by AI.,
127,7247,7,16.833333333333332,28,0,The Text is generated by AI.,
128,8249,10,29.666666666666668,43,0,The Text is generated by AI.,
129,8290,9,44.333333333333336,88,0,The Text is generated by AI.,
130,8621,7,23.0,34,0,The Text is generated by AI.,
131,10971,6,20.428571428571427,33,0,The Text is generated by AI.,
132,11634,10,24.857142857142858,45,0,The Text is generated by AI.,
133,13867,14,26.625,42,0,The Text is generated by AI.,
134,14866,7,26.875,73,0,The Text is generated by AI.,
135,15032,12,67.71428571428571,127,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
136,15748,10,67.85714285714286,160,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
137,15885,7,21.0,28,0,The Text is generated by AI.,
138,18863,10,41.857142857142854,76,0,The Text is generated by AI.,
139,19767,,,,,error,64.74%
140,20996,15,45.4,79,0,The Text is generated by AI.,
141,21989,9,28.22222222222222,39,0,The Text is generated by AI.,
142,22889,8,28.0,54,0,The Text is generated by AI.,
143,25574,13,39.2,53,0,The Text is generated by AI.,
144,109,9,29.0,55,0,The Text is generated by AI.,
145,382,11,25.666666666666668,45,0,The Text is generated by AI.,
146,681,16,46.8,96,0,The Text is generated by AI.,
147,1579,8,28.88888888888889,65,0,The Text is generated by AI.,
148,1606,9,27.125,52,0,The Text is generated by AI.,
149,1619,11,28.8,55,0,The Text is generated by AI.,
150,1751,13,67.5,200,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
151,2267,12,32.833333333333336,72,0,The Text is generated by AI.,
152,2433,13,22.666666666666668,33,0,The Text is generated by AI.,
153,3018,10,65.0,232,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
154,3208,8,26.0,45,0,The Text is generated by AI.,
155,3211,17,34.0,49,0,The Text is generated by AI.,
156,3255,11,39.125,88,0,The Text is generated by AI.,
157,3397,9,35.57142857142857,99,0,The Text is generated by AI.,
158,3664,7,21.5,32,0,The Text is generated by AI.,
159,4131,9,29.285714285714285,55,0,The Text is generated by AI.,
160,4141,16,33.0,40,0,The Text is generated by AI.,
161,4864,12,47.8,95,0,The Text is generated by AI.,
162,5200,10,35.0,58,0,The Text is generated by AI.,
163,5205,10,35.333333333333336,72,0,The Text is generated by AI.,
164,6201,4,21.0,27,0,The Text is generated by AI.,
165,6438,9,31.25,104,0,The Text is generated by AI.,
166,6503,12,32.5,54,0,The Text is generated by AI.,
167,6730,16,38.5,101,0,The Text is generated by AI.,
168,7113,6,19.25,23,0,The Text is generated by AI.,
169,7171,11,55.42857142857143,122,0,The Text is generated by AI.,
170,7395,9,24.857142857142858,75,0,The Text is generated by AI.,
171,7430,13,137.0,614,1,The Text is written by Human.,
172,7453,5,19.25,37,0,The Text is generated by AI.,
173,8416,11,28.5,43,0,The Text is generated by AI.,
174,9259,12,29.375,49,0,The Text is generated by AI.,
175,9538,19,59.0,99,0,The Text is generated by AI.,
176,9559,12,29.75,46,0,The Text is generated by AI.,
177,10341,8,62.75,210,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
178,10899,9,28.0,45,0,The Text is generated by AI.,
179,11009,5,29.8,41,0,The Text is generated by AI.,
180,11095,6,123.6,493,1,The Text is written by Human.,
181,11167,10,44.75,113,0,The Text is generated by AI.,
182,11344,12,37.57142857142857,62,0,The Text is generated by AI.,
183,11418,10,29.75,54,0,The Text is generated by AI.,
184,11469,11,46.63636363636363,111,0,The Text is generated by AI.,
185,11787,7,29.2,49,0,The Text is generated by AI.,
186,11934,7,36.4,119,0,The Text is generated by AI.,
187,12094,7,30.25,46,0,The Text is generated by AI.,
188,12176,11,40.666666666666664,83,0,The Text is generated by AI.,
189,12259,6,52.888888888888886,151,0,The Text is generated by AI.,
190,12955,8,25.6,50,0,The Text is generated by AI.,
191,13512,4,32.333333333333336,57,0,The Text is generated by AI.,
192,13588,,,,,error,50.96%
193,13767,11,42.6,80,0,The Text is generated by AI.,
194,14257,7,13.75,16,0,The Text is generated by AI.,
195,15184,7,15.25,21,0,The Text is generated by AI.,
196,15756,15,56.8,91,0,The Text is generated by AI.,
197,16229,,,,,error,64.70%
198,17386,10,55.0,104,0,The Text is generated by AI.,
199,17584,7,27.333333333333332,49,0,The Text is generated by AI.,
200,18058,4,31.6,75,0,The Text is generated by AI.,
201,18060,13,29.6,43,0,The Text is generated by AI.,
202,18068,17,25.666666666666668,30,0,The Text is generated by AI.,
203,18086,6,16.666666666666668,27,0,The Text is generated by AI.,
204,18331,9,36.4,54,0,The Text is generated by AI.,
205,18334,19,61.6,118,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
206,18400,8,37.857142857142854,68,0,The Text is generated by AI.,
207,18790,8,23.25,26,0,The Text is generated by AI.,
208,18930,8,46.333333333333336,103,0,The Text is generated by AI.,
209,19391,8,20.875,39,0,The Text is generated by AI.,
210,19515,12,42.75,86,0,The Text is generated by AI.,
211,19772,12,40.77777777777778,106,0,The Text is generated by AI.,
212,20601,7,27.0,33,0,The Text is generated by AI.,
213,21206,11,18.25,23,0,The Text is generated by AI.,
214,21865,10,73.16666666666667,209,0,The Text is most probably contain parts which are generated by AI. (require more text for better Judgement),
215,21917,9,31.0,52,0,The Text is generated by AI.,
216,22077,12,56.0,158,0,The Text is generated by AI.,
217,22453,7,41.0,80,0,The Text is generated by AI.,
218,23035,17,52.5,102,0,The Text is generated by AI.,
219,23482,9,28.285714285714285,77,0,The Text is generated by AI.,
220,23621,5,24.5,48,0,The Text is generated by AI.,
221,23706,13,38.6,75,0,The Text is generated by AI.,
222,23908,7,26.285714285714285,57,0,The Text is generated by AI.,
223,24543,11,103.6,184,1,The Text is written by Human.,
224,25026,8,34.2,72,0,The Text is generated by AI.,
225,25084,8,37.666666666666664,53,0,The Text is generated by AI.,
226,25304,9,32.5,74,0,The Text is generated by AI.,
227,25613,4,54.25,105,0,The Text is generated by AI.,
228,26106,4,18.5,32,0,The Text is generated by AI.,
229,26376,4,51.857142857142854,193,0,The Text is generated by AI.,
230,26584,10,34.0,55,0,The Text is generated by AI.,
231,26689,8,48.166666666666664,204,0,The Text is generated by AI.,
